Weapon Name,Range,Dice,To-Hit,AP,Traits
AA Weapon Mk.1 (Light),"8""",,,,
AA Weapon Mk.2 (Man-Portable),"8""",,,,
Assault Rifle,"6""",,,,
Auto Grenade Launcher,"4""",,,,
Auto Grenade Launcher (Inferno),"4""",,,,Special Ammo
Auto Rifle,"6""",,,,
Auto-Pistol,"2""",,,,
Auto-Shotgun,"2""",,,,
Avenger CCW,Melee,,,,
Bearhunter Superheavy Autocannon,"6""",,,,
Blazer Laser Rifle,"8""",,,,
Clan ER Heavy Laser (Infantry),"14""",,,,
Clan ER Micro Laser (Infantry),"8""",,,,
Clan Gauss SMG,"4""",,,,
Claymore Pistol,"2""",,,,
Compact Grenade Launcher,"4""",,,,
David Light Gauss Rifle,"8""",,,,
ER Laser Rifle,"10""",,,,
Ebony Assault Laser Rifle,"8""",,,,
Elephant Gun,"8""",,,,
FarShot LRM Launcher,"20""",,,,Special Ammo
Federated Long Rifle,"8""",,,,
Federated-Barrett M42B,"6""",,,,
Federated-Barrett M61A Laser Rifle,"8""",,,,
Firedrake Support Needler,"4""",,,,
Flamer (Man-Portable),"4""",,,,
Grand Mauler Gauss Cannon,"10""",,,,
Grenade Launcher,"4""",,,,
Gungnir Heavy Support Gauss Rifle,"12""",,,,
Gunther MP-20 SMG,"4""",,,,
Gyrojet Rifle,"6""",,,,
Gyroslug Rifle,"6""",,,,
Heavy Flamer (Man-Pack),"6""",,,,
Heavy Grenade Launcher (Inferno),"4""",,,,Special Ammo
Heavy Laser (Infantry),"10""",,,,
Heavy Mortar,"4""-16""",,,,Special Ammo
Heavy PPC (Infantry),"12""",,,,
Heavy Recoilless Rifle,"10""",,,,
Heavy SRM Launcher (One Shot),"8""",,,,Limited(1)
Hellbore Assault Laser,"8""",,,,
IS Pulse Laser Rifle,"8""",,,,
Imperator AX-22 Assault Rifle,"6""",,,,
Infantry Heavy SRM,"8""",,,,
Infantry LRM,"20""",,,,Special Ammo
Infantry Light SRM,"8""",,,,
Infantry MPPR,"8""",,,,
Infantry One-Shot MRM,"14""",,,,Limited(1)
Infantry SRM,"8""",,,,
Infantry Standard SRM,"8""",,,,
Infantry Standard SRM (Inferno),"8""",,,,Special Ammo
Infantry TAG,"12""",,,,
Intek Laser Rifle,"8""",,,,
King David Light Gauss Rifle,"8""",,,,
Laser Pistol,"4""",,,,
Laser Rifle,"8""",,,,
Light Mortar,"4""-12""",,,,Special Ammo
Light Recoilless Rifle,"6""",,,,
Light SRM Launcher,"8""",,,,
M&G Flechette Needler Rifle,"4""",,,,
M&G G-150 Rifle,"6""",,,,
Machine Gun (Portable),"6""",,,,
Machine Gun (Support),"6""",,,,
Magna Laser Rifle,"8""",,,,
Marx XX Laser Rifle,"8""",,,,
Mauser 1200 LSS Laser Rifle,"8""",,,,
Mauser 960 Laser Rifle,"8""",,,,
Mauser IIC IAS Laser Rifle,"8""",,,,
Maxell PL-10 Laser Rifle,"8""",,,,
Medium Recoilless Rifle,"8""",,,,
Mini Grenade (Inferno),"2""",,,,Special Ammo
Minolta 9000 Laser Rifle,"8""",,,,
Needler Pistol,"2""",,,,
Needler Rifle,"4""",,,,
Particle Cannon (Semi-Portable),"12""",,,,
Plasma Rifle (Man-Portable),"8""",,,,
Portable Autocannon,"8""",,,,
Rifle (Bolt-Action),"8""",,,,
Semi-Portable Autocannon,"8""",,,,
Shredder Heavy Needler Rifle,"4""",,,,
Sniper Rifle,"10""",,,,
Sniper Rifle (Bolt Action),"12""",,,,
Sniper Rifle (Hammel Marksman),"12""",,,,
Sonic Stunner,"4""",,,,
Standard SRM Launcher (Two-Shot),"8""",,,,
Stunstick,Melee,,,,
Submachine Gun,"4""",,,,
Sunbeam Starfire ER Laser Rifle,"10""",,,,
Support Laser,"10""",,,,
Support PPC (Snub-Nose),"8""",,,,
Support Pulse Laser,"10""",,,,
TK Assault Rifle,"6""",,,,
Thunderstroke II Gauss Rifle,"10""",,,,
Tranquilizer Gun,"4""",,,,
Tsunami Heavy Gauss Rifle,"10""",,,,
VLAW,"8""",,,,Limited(1)
Vibro-katana,Melee,,,,
Vibroblade,Melee,,,,
Zeus Heavy Rifle,"8""",,,,
