severity,category,path,message,detail
warning,duplicate-unit,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3039u\Crockett CRK-5003-0.json,unit key '724' appears 2 times,"{""key"": ""724"", ""paths"": [""C:\\Users\\Stephen\\OneDrive\\Gaming\\battletech\\Data Files\\mechs\\3039u\\Crockett CRK-5003-0.json"", ""C:\\Users\\Stephen\\OneDrive\\Gaming\\battletech\\Data Files\\mechs\\Force Manuals\\Mercs\\Crockett CRK-5003-0 (Saddleford).json""]}"
warning,duplicate-unit,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3039u\Orion ON1-K.json,unit key '2332' appears 2 times,"{""key"": ""2332"", ""paths"": [""C:\\Users\\Stephen\\OneDrive\\Gaming\\battletech\\Data Files\\mechs\\3039u\\Orion ON1-K.json"", ""C:\\Users\\Stephen\\OneDrive\\Gaming\\battletech\\Data Files\\mechs\\Force Manuals\\Mercs\\Orion ON1-K (Muller).json""]}"
warning,duplicate-unit,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3058Uu\Emperor EMP-6A.json,unit key '964' appears 2 times,"{""key"": ""964"", ""paths"": [""C:\\Users\\Stephen\\OneDrive\\Gaming\\battletech\\Data Files\\mechs\\3058Uu\\Emperor EMP-6A.json"", ""C:\\Users\\Stephen\\OneDrive\\Gaming\\battletech\\Data Files\\mechs\\XTRs\\RISC\\Emperor EMP-6X.json""]}"
warning,duplicate-unit,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\Dark Age\Mad Cat III 2 (MWDA).json,unit key '6896' appears 3 times,"{""key"": ""6896"", ""paths"": [""C:\\Users\\Stephen\\OneDrive\\Gaming\\battletech\\Data Files\\mechs\\Dark Age\\Mad Cat III 2 (MWDA).json"", ""C:\\Users\\Stephen\\OneDrive\\Gaming\\battletech\\Data Files\\mechs\\Dark Age\\Mad Cat III Dark Age RS.json"", ""C:\\Users\\Stephen\\OneDrive\\Gaming\\battletech\\Data Files\\mechs\\3145\\NTNU RS\\Mad Cat III 3.json""]}"
warning,duplicate-unit,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\Operation Klondike\Crosscut ED-X2 (Flamer).json,unit key '7167' appears 2 times,"{""key"": ""7167"", ""paths"": [""C:\\Users\\Stephen\\OneDrive\\Gaming\\battletech\\Data Files\\mechs\\Operation Klondike\\Crosscut ED-X2 (Flamer).json"", ""C:\\Users\\Stephen\\OneDrive\\Gaming\\battletech\\Data Files\\mechs\\TRO Vehicle Annex\\Crosscut ED-X2M LoggerMech MOD.json""]}"
warning,duplicate-unit,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\Operation Klondike\Harvester Ant KIC-3 Agromech (MG).json,unit key '7152' appears 2 times,"{""key"": ""7152"", ""paths"": [""C:\\Users\\Stephen\\OneDrive\\Gaming\\battletech\\Data Files\\mechs\\Operation Klondike\\Harvester Ant KIC-3 Agromech (MG).json"", ""C:\\Users\\Stephen\\OneDrive\\Gaming\\battletech\\Data Files\\mechs\\TRO Vehicle Annex\\Harvester Ant KIC-3M AgroMech MOD.json""]}"
warning,duplicate-unit,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\Operation Klondike\Harvester Ant KIC-3M-B AgroMech (LRM).json,unit key '7153' appears 2 times,"{""key"": ""7153"", ""paths"": [""C:\\Users\\Stephen\\OneDrive\\Gaming\\battletech\\Data Files\\mechs\\Operation Klondike\\Harvester Ant KIC-3M-B AgroMech (LRM).json"", ""C:\\Users\\Stephen\\OneDrive\\Gaming\\battletech\\Data Files\\mechs\\TRO Vehicle Annex\\Harvester Ant KIC-3M-B AgroMech MOD.json""]}"
warning,duplicate-unit,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\Shrapnel\Vol 16\Jackalope JLP-KA.json,unit key '6712' appears 2 times,"{""key"": ""6712"", ""paths"": [""C:\\Users\\Stephen\\OneDrive\\Gaming\\battletech\\Data Files\\mechs\\Shrapnel\\Vol 16\\Jackalope JLP-KA.json"", ""C:\\Users\\Stephen\\OneDrive\\Gaming\\battletech\\Data Files\\mechs\\3145\\Republic\\Jackalope JLP-KA.json""]}"
warning,duplicate-unit,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\Shrapnel\Vol 21\Blackjack C.json,unit key '8388' appears 2 times,"{""key"": ""8388"", ""paths"": [""C:\\Users\\Stephen\\OneDrive\\Gaming\\battletech\\Data Files\\mechs\\Shrapnel\\Vol 21\\Blackjack C.json"", ""C:\\Users\\Stephen\\OneDrive\\Gaming\\battletech\\Data Files\\mechs\\Force Packs\\Wolfs Dragoons\\Blackjack C.json""]}"
warning,duplicate-unit,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\vehicles\3025 IS Land\Mobile Long Tom Artillery (Unofficial).yml,unit key '2202' appears 2 times,"{""key"": ""2202"", ""paths"": [""C:\\Users\\Stephen\\OneDrive\\Gaming\\battletech\\Data Files\\vehicles\\3025 IS Land\\Mobile Long Tom Artillery (Unofficial).yml"", ""C:\\Users\\Stephen\\OneDrive\\Gaming\\battletech\\Data Files\\vehicles\\3039u\\Mobile Long Tom LT-MOB-25.yml""]}"
