severity,category,path,message,detail
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3055U\Baboon (Howler).json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3055U\Behemoth (Stone Rhino).json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3055U\Prometheus.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3055U\Vixen (Incubus).json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3058Uu\Grizzly.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3058Uu\Hunchback IIC.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3058Uu\Kodiak.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3058Uu\Piranha.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3058Uu\Supernova.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3058Uu\Thresher.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3060u\Arctic Wolf.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3060u\Canis.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3060u\Clint IIC.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3060u\Commando IIC.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3060u\Corvis.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3060u\Fire Scorpion.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3060u\Great Wyrm.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3060u\Guillotine IIC.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3060u\Ha Otoko.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3060u\Highlander IIC.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3060u\Icestorm.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3060u\Mandrill.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3060u\Matador.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3060u\Orion IIC.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3060u\Pack Hunter.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3060u\Predator.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3060u\Snow Fox.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3060u\Stalking Spider.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3060u\Thunder Stallion.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3060u\UrbanMech IIC.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3060u\Ursus.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3060u\Wyvern IIC.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3067\Arcas.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3067\Blood Kite.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3067\Burrock.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3067\Hellfire.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3067\Lobo.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3067\Mad Cat Mk II.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3067\Pinion.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3067\Rabid Coyote.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3067\Scylla.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3067\Solitaire.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3067\Spirit.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3075\Bear Cub.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3075\Crimson Hawk.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3075\Cygnus.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3075\Jupiter.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3075\Ocelot.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3075\Ryoken II.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\3075\Sun Cobra.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\Golden Century\Drift Shag.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\Golden Century\Fox.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\Golden Century\Masauwu.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\Golden Century\Minsk.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\Golden Century\Naja.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\Golden Century\Pulverizer.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\Golden Century\Redback.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\Golden Century\Storm Giant.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\Golden Century\Vision Quest.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\Golden Century\Wakazashi.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\ProtoTypes\Beowulf IIC.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\ProtoTypes\Incubus II.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\ProtoTypes\Mad Cat III.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\ProtoTypes\Stinger IIC.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\ProtoTypes\Thunderbolt IIC.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\QuadVees\Arion.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\QuadVees\Cyllaros.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\QuadVees\Harpagos.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\XTRs\Boondoggles\Ostscout IIC.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\XTRs\Clans\Ha Otoko-HR.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\XTRs\Clans\Kraken-XR.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\Turning Points\OTP Hanseatic Crusade\Cazador.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\Turning Points\OTP Hanseatic Crusade\Rhino.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\Turning Points\OTP Hanseatic Crusade\Tolva.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\ToS\ToS Valencia\Reconquista.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\Rec Guides ilClan\Vol 1\Dominator.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\Rec Guides ilClan\Vol 10\Crucible.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\Rec Guides ilClan\Vol 11\Peregrine (Horned Owl).json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\Rec Guides ilClan\Vol 12\Viper (Black Python) .json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\Rec Guides ilClan\Vol 12\White Raven.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\Rec Guides ilClan\Vol 13\Firestorm.json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
error,missing-field,C:\Users\Stephen\OneDrive\Gaming\battletech\Data Files\mechs\Rec Guides ilClan\Vol 13\Galahad (Glass Spider).json,missing required field 'model' for mech,"{""field"": ""model"", ""unit_type"": ""mech""}"
